Timestamp,Object Temperature(F),Heart Rate Ear(BPM),GSR,Weighted_Stress,QuantityIndex_Stress,StressIndex_Level,Condition
0 days 00:00:00,88.93,66.0,161.0,0.48131,1.6809833713740223,Medium,Base
0 days 00:01:00,88.93,66.0,161.0,0.48131,1.6809833713740223,Medium,Base
0 days 00:02:00,88.93,66.0,161.0,0.48131,1.6809833713740223,Medium,Base
0 days 00:03:00,88.93,66.0,161.0,0.48131,1.6809833713740223,Medium,Base
0 days 00:04:00,89.04,66.0,162.0,0.48198,1.6864029979126918,Medium,Base
0 days 00:05:00,89.04,66.0,162.0,0.48198,1.6864029979126918,Medium,Base
0 days 00:10:00,89.04,66.0,158.0,0.48018,1.6664594922497311,Medium,Base
0 days 00:11:00,89.04,66.0,157.0,0.47973,1.6615105774059356,Medium,Base
0 days 00:12:00,89.04,66.0,156.0,0.47928,1.6565763594439096,Medium,Base
0 days 00:13:00,89.04,66.0,157.0,0.47973,1.6615105774059356,Medium,Base
0 days 00:14:00,89.04,66.0,158.0,0.48018,1.6664594922497311,Medium,Base
0 days 00:15:00,89.04,66.0,157.0,0.47973,1.6615105774059356,Medium,Base
0 days 00:16:00,89.04,66.0,157.0,0.47973,1.6615105774059356,Medium,Base
0 days 00:17:00,89.04,61.0,157.0,0.46223000000000003,1.6189334288135209,Medium,Base
0 days 00:18:00,89.04,61.0,158.0,0.46268,1.6237555249144564,Medium,Base
0 days 00:19:00,89.04,61.0,158.0,0.46268,1.6237555249144564,Medium,Base
0 days 00:20:00,89.04,61.0,159.0,0.46313000000000004,1.6285919839350724,Medium,Base
0 days 00:21:00,89.04,61.0,159.0,0.46313000000000004,1.6285919839350724,Medium,Base
0 days 00:22:00,89.04,61.0,159.0,0.46313000000000004,1.6285919839350724,Medium,Base
0 days 00:23:00,89.04,61.0,159.0,0.46313000000000004,1.6285919839350724,Medium,Base
0 days 00:24:00,89.04,61.0,159.0,0.46313000000000004,1.6285919839350724,Medium,Base
0 days 00:25:00,89.04,61.0,159.0,0.46313000000000004,1.6285919839350724,Medium,Base
0 days 00:26:00,89.04,61.0,159.0,0.46313000000000004,1.6285919839350724,Medium,Base
0 days 00:27:00,89.15,64.0,159.0,0.47385,1.654562061239977,Medium,Base
0 days 00:28:00,89.15,64.0,159.0,0.47385,1.654562061239977,Medium,Base
0 days 00:29:00,89.04,64.0,160.0,0.47408,1.6590841550532984,Medium,Base
0 days 00:30:00,89.15,64.0,160.0,0.4743,1.659490279486794,Medium,Base
0 days 00:31:00,89.04,64.0,160.0,0.47408,1.6590841550532984,Medium,Base
0 days 00:32:00,89.15,64.0,160.0,0.4743,1.659490279486794,Medium,Base
0 days 00:33:00,89.15,64.0,160.0,0.4743,1.659490279486794,Medium,Base
0 days 00:34:00,89.15,64.0,160.0,0.4743,1.659490279486794,Medium,Base
0 days 00:35:00,89.15,64.0,160.0,0.4743,1.659490279486794,Medium,Base
0 days 00:36:00,89.15,64.0,160.0,0.4743,1.659490279486794,Medium,Base
0 days 00:37:00,89.15,65.0,160.0,0.4778,1.6681286322702196,Medium,Base
0 days 00:38:00,89.15,65.0,158.0,0.4769,1.658235600434406,Medium,Base
0 days 00:39:00,89.15,65.0,159.0,0.47735,1.663174760551167,Medium,Base
0 days 00:40:00,89.15,65.0,159.0,0.47735,1.663174760551167,Medium,Base
0 days 00:41:00,89.15,65.0,159.0,0.47735,1.663174760551167,Medium,Base
0 days 00:42:00,89.15,65.0,158.0,0.4769,1.658235600434406,Medium,Base
0 days 00:43:00,89.15,65.0,158.0,0.4769,1.658235600434406,Medium,Base
0 days 00:44:00,89.26,65.0,159.0,0.47757,1.6635818863171359,Medium,Base
0 days 00:45:00,89.15,71.0,160.0,0.4988,1.7209112764677736,High,Base
0 days 00:46:00,89.15,71.0,160.0,0.4988,1.7209112764677736,High,Base
0 days 00:47:00,89.26,71.0,160.0,0.49902,1.7213325354588398,High,Base
0 days 00:48:00,89.26,71.0,159.0,0.49856999999999996,1.7162206631478363,High,Base
0 days 00:49:00,89.26,71.0,158.0,0.49812,1.711123971656335,High,Base
0 days 00:50:00,89.26,71.0,159.0,0.49856999999999996,1.7162206631478363,High,Base
0 days 00:51:00,89.26,71.0,160.0,0.49902,1.7213325354588398,High,Base
0 days 00:52:00,89.26,71.0,160.0,0.49902,1.7213325354588398,High,Base
0 days 00:53:00,89.26,71.0,160.0,0.49902,1.7213325354588398,High,Base
0 days 00:54:00,89.26,70.0,160.0,0.49551999999999996,1.71241866790017,High,Base
0 days 00:55:00,89.26,70.0,159.0,0.49507,1.7073332672626047,High,Base
0 days 00:56:00,89.26,70.0,159.0,0.49507,1.7073332672626047,High,Base
0 days 00:57:00,89.26,70.0,160.0,0.49551999999999996,1.71241866790017,High,Base
0 days 00:58:00,89.26,70.0,161.0,0.49596999999999997,1.7175192157267118,High,Base
0 days 00:59:00,89.26,70.0,162.0,0.49642,1.7226349558590948,High,Base
0 days 01:00:00,89.26,70.0,162.0,0.49642,1.7226349558590948,High,Base
0 days 01:01:00,89.26,70.0,162.0,0.49642,1.7226349558590948,High,Base
0 days 01:02:00,89.26,70.0,163.0,0.49687,1.727765933548567,High,Base
0 days 01:03:00,89.26,69.0,162.0,0.49291999999999997,1.713714343756466,High,Base
0 days 01:04:00,89.26,69.0,162.0,0.49291999999999997,1.713714343756466,High,Base
0 days 01:05:00,89.38,69.0,163.0,0.49361,1.7192777524137903,High,Base
0 days 01:06:00,89.26,69.0,163.0,0.49337,1.7188187508358856,High,Base
0 days 01:07:00,89.38,69.0,164.0,0.49405999999999994,1.7243987304594506,High,Base
0 days 01:08:00,89.38,69.0,164.0,0.49405999999999994,1.7243987304594506,High,Base
0 days 01:09:00,89.26,69.0,164.0,0.49382,1.7239383617161765,High,Base
0 days 01:10:00,89.26,69.0,163.0,0.49337,1.7188187508358856,High,Base
0 days 01:11:00,89.26,69.0,163.0,0.49337,1.7188187508358856,High,Base
0 days 01:12:00,89.26,71.0,163.0,0.50037,1.73675969015303,High,Base
0 days 01:13:00,89.26,71.0,163.0,0.50037,1.73675969015303,High,Base
0 days 01:14:00,89.26,71.0,164.0,0.50082,1.7419327392612238,High,Base
0 days 01:15:00,89.15,71.0,165.0,0.50105,1.7466936264155755,High,Base
0 days 01:16:00,89.15,71.0,165.0,0.50105,1.7466936264155755,High,Base
0 days 01:17:00,89.15,71.0,164.0,0.5005999999999999,1.741506438814837,High,Base
0 days 01:18:00,89.15,71.0,162.0,0.4997,1.7311782313204171,High,Base
0 days 01:19:00,89.15,71.0,161.0,0.49924999999999997,1.726037120068639,High,Base
0 days 01:20:00,89.15,71.0,162.0,0.4997,1.7311782313204171,High,Base
0 days 01:21:00,89.26,71.0,162.0,0.49992,1.731602003542178,High,Base
0 days 01:22:00,89.26,71.0,163.0,0.50037,1.73675969015303,High,Base
0 days 01:23:00,89.26,71.0,164.0,0.50082,1.7419327392612238,High,Base
0 days 01:24:00,89.26,71.0,163.0,0.50037,1.73675969015303,High,Base
0 days 01:25:00,89.26,71.0,163.0,0.50037,1.73675969015303,High,Base
0 days 01:26:00,89.26,71.0,163.0,0.50037,1.73675969015303,High,Base
0 days 01:27:00,89.26,71.0,163.0,0.50037,1.73675969015303,High,Base
0 days 01:28:00,89.26,71.0,164.0,0.50082,1.7419327392612238,High,Base
